Independent School District Name,ISD #,Subject to Subchapter C,Category #,Subject to Subchapter C Because of Demographics Characteristics [Sec.313.051(a-1)(2)],Minimum Limitation Amount [Sec.313.053],Minimum Qualified Investment Amount [Sec.313.054]
Normangee,145-906,YES,III,YES,$20 Million,$10 Million
North East,015-910,NO,I,NO,$100 Million,$100 Million
North Hopkins,112-906,YES,III,YES,$20 Million,$10 Million
North Lamar,139-911,YES,I,YES,$30 Million,$30 Million
North Zulch,154-903,YES,III,YES,$20 Million,$10 Million
Northside,015-915,YES,I,YES,$30 Million,$30 Million
Northside,244-905,YES,III,YES,$20 Million,$10 Million
Northwest,061-911,NO,I,NO,$100 Million,$100 Million
Nueces Canyon,069-902,YES,IV,YES,$15 Million,$5 Million
Nursery,235-904,NO,IV,NO,$40 Million,$40 Million
Oakwood,145-907,YES,III,YES,$20 Million,$10 Million
Odem,205-905,YES,III,NO,$20 Million,$10 Million
O'Donnell,153-903,YES,II,YES,$25 Million,$20 Million
Oglesby,050-904,YES,III,NO,$20 Million,$10 Million
Olfen,200-906,YES,V,YES,$10 Million,$1 Million
Olney,252-903,YES,II,YES,$25 Million,$20 Million
Olton,140-905,YES,III,YES,$20 Million,$10 Million
Onalaska,187-910,YES,III,NO,$20 Million,$10 Million
Orange Grove,125-903,YES,III,YES,$20 Million,$10 Million
Orangefield,181-905,YES,II,NO,$25 Million,$20 Million
Ore City,230-903,YES,III,YES,$20 Million,$10 Million
Overton,201-908,YES,III,NO,$20 Million,$10 Million
Paducah,051-901,YES,III,YES,$20 Million,$10 Million
Paint Creek,104-907,YES,II,YES,$25 Million,$20 Million
Paint Rock,048-903,YES,III,YES,$20 Million,$10 Million
Palacios,158-905,YES,I,YES,$30 Million,$30 Million
Palestine,001-907,NO,II,NO,$80 Million,$80 Million
Palmer,070-910,NO,IV,NO,$40 Million,$40 Million
Palo Pinto,182-906,YES,III,YES,$20 Million,$10 Million
Pampa,090-904,YES,I,YES,$30 Million,$30 Million
Panhandle,033-902,YES,I,YES,$30 Million,$30 Million
Panther Creek,042-905,YES,III,YES,$20 Million,$10 Million
Paradise,249-906,NO,III,NO,$60 Million,$60 Million
Paris,139-909,YES,III,YES,$20 Million,$10 Million
Pasadena,101-917,NO,I,NO,$100 Million,$100 Million
Patton Springs,063-906,YES,IV,YES,$15 Million,$5 Million
Pawnee,013-902,YES,II,YES,$25 Million,$20 Million
Pearland,020-908,YES,I,NO,$30 Million,$30 Million
Pearsall,082-903,YES,I,YES,$30 Million,$30 Million
Peaster,184-908,NO,IV,NO,$40 Million,$40 Million
Pecos-Barstow-Toyah,195-901,YES,I,YES,$30 Million,$30 Million
Penelope,109-914,YES,III,YES,$20 Million,$10 Million
Perrin-Whitt,119-903,YES,II,YES,$25 Million,$20 Million
Perryton,179-901,YES,I,YES,$30 Million,$30 Million
Petersburg,095-904,YES,I,YES,$30 Million,$30 Million
Petrolia,039-903,YES,IV,YES,$15 Million,$5 Million
Pettus,013-903,YES,I,YES,$30 Million,$30 Million
Pewitt,172-905,YES,III,YES,$20 Million,$10 Million
Pflugerville,227-904,NO,I,NO,$100 Million,$100 Million
Pharr-San Juan-Alamo,108-909,YES,III,NO,$20 Million,$10 Million
Pilot Point,061-903,YES,III,YES,$20 Million,$10 Million
Pine Tree,092-904,YES,I,NO,$30 Million,$30 Million
Pittsburg,032-902,YES,II,YES,$25 Million,$20 Million
Plains,251-902,YES,III,YES,$20 Million,$10 Million
Plainview,095-905,YES,I,YES,$30 Million,$30 Million
Plano,043-910,NO,I,NO,$100 Million,$100 Million
Pleasant Grove,019-912,YES,IV,NO,$15 Million,$5 Million
Pleasanton,007-905,YES,I,NO,$30 Million,$30 Million
Plemons-Stinnett-Phillips,117-904,YES,I,YES,$30 Million,$30 Million
Point Isabel,031-909,YES,I,NO,$30 Million,$30 Million
Ponder,061-906,NO,III,NO,$60 Million,$60 Million
Poolville,184-901,NO,IV,NO,$40 Million,$40 Million
Port Aransas,178-908,YES,III,YES,$20 Million,$10 Million
Port Arthur,123-907,YES,I,NO,$30 Million,$30 Million
Port Neches,123-908,YES,I,NO,$30 Million,$30 Million
Post,085-902,YES,III,YES,$20 Million,$10 Million
Poteet,007-906,YES,II,NO,$25 Million,$20 Million
Poth,247-904,NO,IV,NO,$40 Million,$40 Million
Pottsboro,091-913,NO,III,NO,$60 Million,$60 Million
Prairie Lea,028-906,YES,III,YES,$20 Million,$10 Million
Prairie Valley,169-909,YES,IV,YES,$15 Million,$5 Million
Prairiland,139-912,YES,III,YES,$20 Million,$10 Million
Premont,125-905,YES,III,YES,$20 Million,$10 Million
Presidio,189-902,YES,III,YES,$20 Million,$10 Million
Priddy,167-904,YES,II,YES,$25 Million,$20 Million
Princeton,043-911,NO,II,NO,$80 Million,$80 Million
Pringle-Morse,098-903,YES,III,YES,$20 Million,$10 Million
Progreso,108-910,YES,III,NO,$20 Million,$10 Million
Prosper,043-912,NO,II,NO,$80 Million,$80 Million
Quanah,099-903,YES,III,YES,$20 Million,$10 Million
Queen City,034-907,YES,I,YES,$30 Million,$30 Million
Quinlan,116-908,YES,IV,NO,$15 Million,$5 Million
Quitman,250-904,YES,III,YES,$20 Million,$10 Million
Rains,190-903,YES,III,YES,$20 Million,$10 Million
Ralls,054-903,YES,III,YES,$20 Million,$10 Million
Ramirez,066-005,YES,III,YES,$20 Million,$10 Million
Ranger,067-907,YES,III,YES,$20 Million,$10 Million
Rankin,231-902,YES,I,YES,$30 Million,$30 Million
Raymondville,245-903,YES,III,YES,$20 Million,$10 Million
Reagan,192-901,YES,I,YES,$30 Million,$30 Million
Red Lick,019-911,YES,III,NO,$20 Million,$10 Million
Red Oak,070-911,NO,II,NO,$80 Million,$80 Million
Redwater,019-906,YES,III,NO,$20 Million,$10 Million
Refugio,196-903,YES,III,YES,$20 Million,$10 Million
Ricardo,137-902,YES,III,YES,$20 Million,$10 Million
Rice,175-911,NO,IV,NO,$40 Million,$40 Million
Rice Consolidated,045-903,YES,I,YES,$30 Million,$30 Million
Richards,093-905,YES,III,YES,$20 Million,$10 Million
Richardson,057-916,NO,I,NO,$100 Million,$100 Million
Richland Springs,206-902,YES,IV,YES,$15 Million,$5 Million
Riesel,161-912,YES,I,YES,$30 Million,$30 Million
Rio Grande City,214-901,YES,I,NO,$30 Million,$30 Million
Rio Hondo,031-911,YES,III,NO,$20 Million,$10 Million
Rio Vista,126-907,YES,III,YES,$20 Million,$10 Million
Rising Star,067-908,YES,III,YES,$20 Million,$10 Million
River Road,188-902,NO,IV,NO,$40 Million,$40 Million
Rivercrest,194-903,YES,III,YES,$20 Million,$10 Million
Riviera,137-903,YES,IV,YES,$15 Million,$5 Million
Robert Lee,041-902,YES,II,YES,$25 Million,$20 Million
Robinson,161-922,YES,III,YES,$20 Million,$10 Million
Robstown,178-909,YES,III,NO,$20 Million,$10 Million
Roby,076-903,YES,III,YES,$20 Million,$10 Million
Rochelle,160-904,YES,III,YES,$20 Million,$10 Million
Rockdale,166-904,YES,III,YES,$20 Million,$10 Million
Rocksprings,069-901,YES,III,YES,$20 Million,$10 Million
Rockwall,199-901,NO,I,NO,$100 Million,$100 Million
Rogers,014-907,YES,III,YES,$20 Million,$10 Million
Roma,214-903,YES,II,NO,$25 Million,$20 Million
Roosevelt,152-908,NO,IV,NO,$40 Million,$40 Million
Ropes,110-905,YES,III,YES,$20 Million,$10 Million
Roscoe,177-901,YES,II,YES,$25 Million,$20 Million
Rosebud-Lott,073-905,YES,III,YES,$20 Million,$10 Million
